deal_id,announcement_date,year,quarter,deal_status,validation_status,transaction_type,asset_or_company_name,target_type,buyer,buyer_country,buyer_type,seller,seller_country,seller_type,spanish_company_involved,spanish_company_role,description,technology,location_country,location_region,location_province,location_city,capacity_mw,capacity_mwp,storage_mwh,number_of_assets,development_stage,regulated_or_merchant,ppa_status,grid_access_status,environmental_permit_status,deal_value_eur_m,enterprise_value_eur_m,equity_value_eur_m,debt_assumed_eur_m,price_per_mw_eur_m,ownership_stake_acquired_pct,implied_100pct_value_eur_m,source_1,source_2,source_3,source_quality_score,source_type,source_domain,source_url,article_title,article_date,ingestion_date,last_seen_date,extraction_method,extraction_confidence_score,duplicate_group_id,raw_text_excerpt,notes,last_updated
MASTER-0011,2026-03-09,2026,Q1,announced,public_seed,asset sale,Navabuena Solar and PV XXI Suinthila around 424 MW,portfolio,Cobra,,,Galp,,,yes,unknown,Galp transfers the Navabuena Solar project around 424 MW and PV XXI Suinthila to Cobra.,solar PV,Spain,,,,424.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Galp transfers the Navabuena Solar project around 424 MW and PV XXI Suinthila to Cobra.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0012,2026-03-09,2026,Q1,announced,public_seed,platform acquisition,Ørsted European onshore renewables business,platform,Copenhagen Infrastructure Partners / CI V,,,Ørsted,,,unknown,unknown,CIP acquires through CI V the European onshore renewables business of Ørsted.,wind onshore,Europe,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,CIP acquires through CI V the European onshore renewables business of Ørsted.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0013,2026-03-09,2026,Q1,announced,public_seed,minority stake,Umbrella participation,company stake,Pamesa Grupo Empresarial,,,Undisclosed,,,yes,unknown,Pamesa Grupo Empresarial to acquire a stake in Umbrella.,renewable platform,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Pamesa Grupo Empresarial to acquire a stake in Umbrella.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0014,2026-03-09,2026,Q1,closed,public_seed,platform sale,Bestinver renewable energy platform in Spain,platform,IST,,,Bestinver,,,yes,unknown,Bestinver sells its renewable energy platform in Spain to IST.,renewable platform,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Bestinver sells its renewable energy platform in Spain to IST.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0015,2026-03-09,2026,Q1,process,public_seed,platform sale,Zero Waste Energy 92 MW,platform,To be determined,,,Suma Capital,,,yes,unknown,Suma Capital puts Zero Waste Energy platform with 92 MW up for sale.,waste-to-energy,Spain,,,,92.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Suma Capital puts Zero Waste Energy platform with 92 MW up for sale.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0016,2026-03-09,2026,Q1,announced,public_seed,equipment / project acquisition,Solaria BESS equipment 516 MWh,storage assets,Solaria,,,Undisclosed,,,yes,unknown,Solaria buys 516 MWh of BESS equipment for solar battery projects.,battery storage,Spain,,,,,,516.0,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Solaria buys 516 MWh of BESS equipment for solar battery projects.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0017,2026-03-09,2026,Q1,announced,public_seed,asset acquisition,Navaleo pumped storage project 535 MW,asset,Alpiq,,,Erbienergía,,,yes,unknown,Alpiq acquires the Navaleo pumped storage project in Castilla y León of 535 MW.,hydro storage,Spain,,,,535.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Alpiq acquires the Navaleo pumped storage project in Castilla y León of 535 MW.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0018,2026-03-09,2026,Q1,announced,public_seed,JV / project acquisition,Renewable hydrogen projects in Spain,pipeline,MASPV / Shanghai Shaanyao,,,Undisclosed,,,yes,unknown,MASPV joins Shanghai Shaanyao to acquire renewable hydrogen projects in Spain.,hydrogen,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,MASPV joins Shanghai Shaanyao to acquire renewable hydrogen projects in Spain.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0019,2026-03-09,2026,Q1,process,public_seed,portfolio sale,Aquila BESS portfolio 80 MW / 318 MWh,portfolio,To be determined,,,Aquila,,,yes,unknown,JLL advises Aquila on the sale of an 80 MW / 318 MWh BESS portfolio in Spain.,battery storage,Spain,,,,80.0,,318.0,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,JLL advises Aquila on the sale of an 80 MW / 318 MWh BESS portfolio in Spain.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0020,2026-03-09,2026,Q1,announced,public_seed,corporate acquisition,Factorenergia,company,Marubeni,,,Undisclosed,,,yes,unknown,Japanese group Marubeni acquires electricity company Factorenergia.,energy retailer,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2026/03/09/listado-de-las-nuevas-ma-renovables-anunciadas-en-febrero-en-espana/,,2026-03-09,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Japanese group Marubeni acquires electricity company Factorenergia.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0021,2025-06-06,2025,Q2,process,public_seed,portfolio sale,"Shell Spanish solar portfolio 3,000 MW",portfolio,To be determined,,,Shell,,,yes,unknown,"Shell to sell its 3,000 MW photovoltaic portfolio in Spain and exit the Spanish renewables market.",solar PV,Spain,,,,3000.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,"Shell to sell its 3,000 MW photovoltaic portfolio in Spain and exit the Spanish renewables market.",public seed from source; review/complete missing economics,2026-07-02
MASTER-0022,2025-06-06,2025,Q2,process,public_seed,portfolio sale,"Endesa early-stage PV portfolio 1,000 MW",portfolio,To be determined,,,Endesa,,,yes,unknown,"Endesa contemplates sale of 1,000 MW photovoltaic projects in Spain at early development stage.",solar PV,Spain,,,,1000.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,"Endesa contemplates sale of 1,000 MW photovoltaic projects in Spain at early development stage.",public seed from source; review/complete missing economics,2026-07-02
MASTER-0023,2025-06-06,2025,Q2,process,public_seed,portfolio sale,EDP 230 MW operating PV portfolio,portfolio,To be determined,,,EDP,,,yes,unknown,EDP puts up for sale a 230 MW operating photovoltaic portfolio in Spain.,solar PV,Spain,,,,230.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,EDP puts up for sale a 230 MW operating photovoltaic portfolio in Spain.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0024,2025-06-06,2025,Q2,process,public_seed,platform sale,Capital Energy renewables portfolio 30 GW,platform / pipeline,To be determined,,,Capital Energy,,,yes,unknown,Capital Energy mandates Evercore to sell a renewable portfolio of 30 GW across Spain and Portugal.,hybrid,Spain / Portugal,,,,30000.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Capital Energy mandates Evercore to sell a renewable portfolio of 30 GW across Spain and Portugal.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0025,2025-06-06,2025,Q2,process,public_seed,farm-down,Repsol Spanish renewables 706 MW,portfolio,To be determined,,,Repsol,,,yes,unknown,Repsol seeks a partner for a new lot of renewable plants in Spain of 706 MW.,hybrid,Spain,,,,706.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Repsol seeks a partner for a new lot of renewable plants in Spain of 706 MW.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0026,2025-06-06,2025,Q2,process,public_seed,portfolio sale,Acciona hydroelectric plants in Spain,portfolio,To be determined,,,Acciona,,,yes,unknown,Acciona puts its latest hydroelectric plant portfolio in Spain up for sale.,hydro,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Acciona puts its latest hydroelectric plant portfolio in Spain up for sale.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0027,2025-06-06,2025,Q2,announced,public_seed,corporate acquisition,Cable Energía,company,Acciona,,,Shell,,,yes,unknown,"Acciona acquires Cable Energía, Shell's charging point company in Spain and Portugal.",e-mobility,Spain / Portugal,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,"Acciona acquires Cable Energía, Shell's charging point company in Spain and Portugal.",public seed from source; review/complete missing economics,2026-07-02
MASTER-0028,2025-06-06,2025,Q2,process,public_seed,portfolio sale,Iberdrola cogeneration and slurry plants 50 MW,portfolio,To be determined,,,Iberdrola,,,yes,unknown,Iberdrola starts sale of cogeneration with slurry plants of 50 MW.,biogas / cogeneration,Spain,,,,50.0,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Iberdrola starts sale of cogeneration with slurry plants of 50 MW.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0029,2025-06-06,2025,Q2,process,public_seed,capital increase,Greening capital opening,company,New investors,,,Greening,,,yes,unknown,Greening opens the company's capital to new partners.,renewable platform,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Greening opens the company's capital to new partners.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0030,2025-06-06,2025,Q2,announced,public_seed,majority stake,Biovic,company,Suma Capital,,,Undisclosed,,,yes,unknown,Suma Capital buys the majority of biomethane company Biovic.,biomethane,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Suma Capital buys the majority of biomethane company Biovic.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0031,2025-06-06,2025,Q2,announced,public_seed,minority stake sale,Podo 30% stake,company stake,Undisclosed,,,Galp / Joaquín Coronado,,,yes,unknown,"Galp and Joaquín Coronado sell 30% of Podo, electricity and gas retailer.",energy retailer,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,30.0,,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2025/06/06/la-desinversion-de-proyectos-lidera-las-nuevas-ma-renovables-anunciadas-en-abril-en-espana/,,2025-06-06,2026-07-02,2026-07-02,manual_public_seed_v4,100,,"Galp and Joaquín Coronado sell 30% of Podo, electricity and gas retailer.",public seed from source; review/complete missing economics,2026-07-02
MASTER-0032,2023-10-11,2023,Q4,closed,public_seed,asset acquisition,Fregenal de la Sierra solar PV plant,asset,ERG,,,Undisclosed,,,yes,unknown,ERG completes acquisition of Fregenal de la Sierra solar PV plant.,solar PV,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2023/10/11/listado-de-las-todas-las-operaciones-ma-del-sector-renovable-del-tercer-trimestre-en-espana-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2023/10/11/listado-de-las-todas-las-operaciones-ma-del-sector-renovable-del-tercer-trimestre-en-espana-en-espana/,,2023-10-11,2026-07-02,2026-07-02,manual_public_seed_v4,100,,ERG completes acquisition of Fregenal de la Sierra solar PV plant.,public seed from source; review/complete missing economics,2026-07-02
MASTER-0033,2023-10-11,2023,Q4,announced,public_seed,portfolio acquisition,Helios Greening PV plants in Aragón and Andalucía,portfolio,Eni,,,Helios Greening Group,,,yes,unknown,Eni buys photovoltaic plants in Aragón and Andalucía from Helios Greening Group.,solar PV,Spain,,,,,,,,unknown,unknown,unknown,unknown,unknown,,,,,,,,https://www.pv-magazine.es/2023/10/11/listado-de-las-todas-las-operaciones-ma-del-sector-renovable-del-tercer-trimestre-en-espana-en-espana/,,,4,public_seed,www.pv-magazine.es,https://www.pv-magazine.es/2023/10/11/listado-de-las-todas-las-operaciones-ma-del-sector-renovable-del-tercer-trimestre-en-espana-en-espana/,,2023-10-11,2026-07-02,2026-07-02,manual_public_seed_v4,100,,Eni buys photovoltaic plants in Aragón and Andalucía from Helios Greening Group.,public seed from source; review/complete missing economics,2026-07-02
